"compound";"filename";"sample";"instrument";"category.1";"category.2";"category.3";"rt.1D";"rt.2D";"formula";"comment"
"dichlorodiphenyltrichloroethane (DDT)";"ddt";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1452;0.92;"C14H9Cl5";"Isomer unknown."
"dichlorodiphenyldichloroethylene (DDE)";"dde";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1386;0.87;"C14H8Cl4";"Possibly 3 isomers detected; one shown.  There were problems deconvoluting the large DDE peak. "
"dichlorodiphenyldichloroethane (DDD) isomer 1";"ddd1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1410;0.91;"C14H10Cl4";"Isomer unknown."
"dichlorodiphenyldichloroethane (DDD) isomer 2";"ddd2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1413;0.93;"C14H10Cl4";"Isomer unknown."
"1-chloro-2,2-bis(chlorophenyl)ethene (DDMU) isomer 1";"ddmu1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1257;0.86;"C14H9Cl3";"Isomer unknown."
"1-chloro-2,2-bis(chlorophenyl)ethene (DDMU) isomer 2";"ddmu2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1326;0.88;"C14H9Cl3";"Isomer unknown."
"bis(chlorophenyl)ethane (DDEt)";"ddet";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1218;0.83;"C14H12Cl2";"Isomer unknown. Reference: Environ. Sci. Technol., 2003, 37, 488-495, doi:10.1021/es0201451"
"dichlorobenzophenone (DBP)";"dbp";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1266;0.88;"C13H8Cl2O";"Isomer unknown. Reference: Environ. Sci. Technol., 2003, 37, 488-495, doi:10.1021/es0201451"
"tris(chlorophenyl)methane isomer 1";"tcpm1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"manual identification";1557;0.96;"C19H13Cl3";"Reference: Environ. Sci. Technol. 1995, 29, 2133-2139.  At least one 2-chloro ring based on 235/239 ratio."
"tris(chlorophenyl)methane isomer 2";"tcpm2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"manual identification";1596;1.03;"C19H13Cl3";"Reference: Environ. Sci. Technol. 1995, 29, 2133-2139. Only 3/4-chloro ring based on 235/239 ratio."
"dichlorophenylacetylene (DCPA) (tentative)";"dcpa";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"DDT related";"match to NIST 2008 library";1296;0.86;"C14H8Cl2";"Likely ID based on: ES&T, 1996, 30, 3401-3407.  Matches in NIST library: CAS 605-48-1, 76905-732, 835-17-6, 1820-42-4."
"hexachlorocyclohexane (HCH)";"hch";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1125;0.88;"C6H6Cl6";"NA"
"heptachlor epoxide";"heptachlorepoxide";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1305;0.87;"C10H5Cl7O";"NA"
"nonachlor";"nonachlor";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1347;0.84;"C10H5Cl9";"Isomer unknown."
"oxychlordane";"oxychlordane";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1308;0.84;"C10H4Cl8O";"NA"
"mirex";"mirex";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"match to NIST 2008 library";1569;0.99;"C10Cl12";"NA"
"mirex (Cl11) (tentative)";"mirexCl11";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"legacy pesticide";"manual identification";1500;0.94;"C10HCl11";"Degradation product or metabolite of mirex?"
"dicofol";"dicofol";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"current use pesticide";"match to NIST 2008 library";1665;1.18;"C14H9Cl5O";"Isomer unknown."
"phenanthrene";"phenanthrene";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PAH";"match to NIST 2008 library";1149;0.89;"C14H10";"NA"
"pyrene";"pyrene";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PAH";"match to NIST 2008 library";1347;0.99;"C16H10";"NA"
"tetra brominated biphenyl (tetra-BB)";"tetraBB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"BB";"match to NIST 2008 library";1455;0.97;"C12H6Br4";"Isomer unknown."
"tri brominated diphenyl ether (tri-BDE)";"triBDE";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PBDE";"manual identification";"NA";"NA";"C12H7Br3O";"Two unknown isomers detected; one shown."
"tetra brominated diphenyl ether (tetra-BDE)";"tetraBDE";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PBDE";"match to NIST 2008 library";1536;1.05;"C12H6Br4O";"Isomer unknown."
"penta brominated diphenyl ether (penta-BDE) isomer 1";"pentaBDE1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PBDE";"match to NIST 2008 library";1632;1.19;"C12H5Br5O";"Isomer unknown; likely BDE-100."
"penta brominated diphenyl ether (penta-BDE) isomer 2";"pentaBDE2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PBDE";"match to NIST 2008 library";1659;1.23;"C12H5Br5O";"Isomer unknown; likely BDE-99."
"hexa brominated diphenyl ether (hexa-BDE)";"hexaBDE";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PBDE";"match to NIST 2008 library";1761;1.52;"C12H4Br6O";"Isomer unknown."
"tri chlorinated biphenyl (tri-PCB)";"triPCB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCB";"match to NIST 2008 library";1236;0.83;"C12H7Cl3";"Isomer unknown."
"tetra chlorinated biphenyl (tetra-PCB)";"tetraPCB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCB";"match to NIST 2008 library";"NA";"NA";"C12H6Cl4";"Seven unknown isomers detected; one shown."
"penta chlorinated biphenyl (penta-PCB)";"pentaPCB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCB";"match to NIST 2008 library";"NA";"NA";"C12H5Cl5";"Nine unknown isomers detected; one shown."
"hexa chlorinated biphenyl (hexa-PCB)";"hexaPCB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCB";"match to NIST 2008 library";"NA";"NA";"C12H4Cl6";"Nineteen unknown isomers detected; one shown."
"hepta chlorinated biphenyl (hepta-PCB)";"heptaPCB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCB";"match to NIST 2008 library";"NA";"NA";"C12H3Cl7";"Nine unknown isomers detected; one shown."
"octa chlorinated biphenyl (octa-PCB)";"octaPCB";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCB";"match to NIST 2008 library";"NA";"NA";"C12H2Cl8";"Seven unknown isomers detected; one shown."
"hexa chlorinated diphenyl ether (hexa-CDE) isomer 1";"hexaCDE1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCDE";"manual identification";1467;0.87;"C12H4Cl6O";"Isomer unknown.  Reference: Environment International, 2006, 32, 121-127, doi:10.1016/j.envint.2005.05.021"
"hexa chlorinated diphenyl ether (hexa-CDE) isomer 2";"hexaCDE2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"PCDE";"manual identification";1473;0.9;"C12H4Cl6O";"Isomer unknown.  Reference: Environment International, 2006, 32, 121-127, doi:10.1016/j.envint.2005.05.021"
"bisphenol A";"bisphenolA";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"anthropogenic";"phenolic";"match to NIST 2008 library";1359;0.99;"C15H16O2";"Found in hexane:DCM (1:1 v/v) SPE fraction."
"hepta chlorinated methyl bipyrrole (hepta-MBP)";"heptaMBP";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"natural";"MBP";"manual identification";1350;0.87;"C9H3Cl7N2";"NA"
"hexa chlorinated methyl bipyrrole (hexa-MBP) isomer 1";"hexaMBP1";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"natural";"MBP";"manual identification";1299;0.84;"C9H4Cl6N2";"Isomer unknown."
"hexa chlorinated methyl bipyrrole (hexa-MBP) isomer 2";"hexaMBP2";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"natural";"MBP";"manual identification";1455;0.89;"C9H4Cl6N2";"Isomer unknown."
"unknown";"unknown";"southern CA sea lion blubber";"GCxGC-TOF, electron impact, 70 eV";"unknown";"unknown";"NA";1491;0.95;"NA";"NA"
